Mix, Pure, Crude (M or P or C);Freq. (MHz);Eta (cP);T2LM (ms);T (K);TE (ms);;;;;;;;;;;;;;
C;2;2345,440693;1,966877;338,15;0,24;;;;;;;;;;;;;;
C;2;520,6604382;3,584795;359,15;0,24;;;;;;;;;;;;;;
C;2;16,98642324;51,856256;448,15;0,24;;;;;;;;;;;;;;
C;2;49343,58;0,48;303,15;0,1;;;;;;;;;;;;;;
C;2;27095,63457;1,004822;313,15;0,24;;;;;;;;;;;;;;
C;2;1012,575429;2,730814;349,15;0,24;;;;;;;;;;;;;;
C;2;4587,01;1,56;303,15;0,1;;;;;;;;;;;;;;
C;2;42348,43;0,56;303,15;0,1;;;;;;;;;;;;;;
C;2;786,26;3,436066656;303,15;0,3;;;;;;;;;;;;;;
C;2;12,16122758;77,551393;464,15;0,24;;;;;;;;;;;;;;
C;2;981,16;4,310919151;303,15;0,3;;;;;;;;;;;;;;
C;2;16,75;54,90;303,15;0,1;;;;;;;;;;;;;;
C;2;12578,82;0,79;303,15;0,1;;;;;;;;;;;;;;
C;2;1703,477373;2,164638;342,15;0,24;;;;;;;;;;;;;;
C;2;75,58755875;12,086367;398,15;0,24;;;;;;;;;;;;;;
C;2;1372,16;3,208792385;323,15;0,3;;;;;;;;;;;;;;
C;2;2455,68;2,52935497;323,15;0,3;;;;;;;;;;;;;;
C;2;1842,303438;2,137677;341,15;0,24;;;;;;;;;;;;;;
C;2;943,6782333;2,752673;350,15;0,24;;;;;;;;;;;;;;
C;2;114,1483133;8,711271;388,15;0,24;;;;;;;;;;;;;;
C;2;17,3770134;49,612598;447,15;0,24;;;;;;;;;;;;;;
C;2;3,18;543,83;303,15;0,1;;;;;;;;;;;;;;
C;2;590,7292747;3,369229;357,15;0,24;;;;;;;;;;;;;;
C;2;1,03;1161,49;303,15;0,1;;;;;;;;;;;;;;
C;2;1355,02291;2,389842;345,15;0,24;;;;;;;;;;;;;;
C;2;1526,61;2,718315594;303,15;0,3;;;;;;;;;;;;;;
C;2;433,3899559;3,991119;362,15;0,24;;;;;;;;;;;;;;
C;2;62,575259;14,075309;403,15;0,24;;;;;;;;;;;;;;
C;2;6,18;271,04;303,15;0,1;;;;;;;;;;;;;;
C;2;10200,20328;1,294167;322,15;0,24;;;;;;;;;;;;;;
C;2;2547,618096;1,943204;337,15;0,24;;;;;;;;;;;;;;
C;2;15,67;74,14;303,15;0,1;;;;;;;;;;;;;;
C;2;335,36;10,13670793;323,15;0,3;;;;;;;;;;;;;;
C;2;7,30;207,71;303,15;0,1;;;;;;;;;;;;;;
C;2;8,91;110,19;303,15;0,1;;;;;;;;;;;;;;
C;2;540,8;2,796722267;323,15;0,3;;;;;;;;;;;;;;
C;2;12,80;70,10;303,15;0,1;;;;;;;;;;;;;;
C;2;135,73;5,38;303,15;0,1;;;;;;;;;;;;;;
C;2;942,93;4,234677115;303,15;0,3;;;;;;;;;;;;;;
C;2;110166,254;0,706036;302,15;0,24;;;;;;;;;;;;;;
C;2;199,34;7,237570696;323,15;0,3;;;;;;;;;;;;;;
C;2;824,7;3,792526296;323,15;0,3;;;;;;;;;;;;;;
C;2;460,3637515;3,916093;361,15;0,24;;;;;;;;;;;;;;
C;2;554,25;5,07;303,15;0,1;;;;;;;;;;;;;;
C;2;3203,4;1,632876884;303,15;0,3;;;;;;;;;;;;;;
C;2;72,72154879;12,817998;399,15;0,24;;;;;;;;;;;;;;
C;2;81,77300428;11,247342;396,15;0,24;;;;;;;;;;;;;;
C;2;44185,14036;0,885833;309,15;0,24;;;;;;;;;;;;;;
C;2;2967,89;2,606177787;323,15;0,3;;;;;;;;;;;;;;
C;2;56122,12;0,67;303,15;0,1;;;;;;;;;;;;;;
C;2;562,35;9,166074972;303,15;0,3;;;;;;;;;;;;;;
C;2;808,96;3,408801744;323,15;0,3;;;;;;;;;;;;;;
C;2;2967,89;2,606177787;323,15;0,3;;;;;;;;;;;;;;
C;2;460,29;5,484273831;323,15;0,3;;;;;;;;;;;;;;
C;2;6846,003363;1,420759;326,15;0,24;;;;;;;;;;;;;;
C;2;13,72;107,01;303,15;0,1;;;;;;;;;;;;;;
C;2;2161,710544;2,040604;339,15;0,24;;;;;;;;;;;;;;
C;2;50389,00;0,43;303,15;0,1;;;;;;;;;;;;;;
C;2;96716,70;0,45;303,15;0,1;;;;;;;;;;;;;;
C;2;766,4348533;2,999033;353,15;0,24;;;;;;;;;;;;;;
C;2;137000,00;0,45;303,15;0,1;;;;;;;;;;;;;;
C;2;7547,759296;1,392911;325,15;0,24;;;;;;;;;;;;;;
C;2;3,64;643,72;303,15;0,1;;;;;;;;;;;;;;
C;2;64601,59226;0,822881;306,15;0,24;;;;;;;;;;;;;;
C;2;50055,21634;0,857257;308,15;0,24;;;;;;;;;;;;;;
C;2;22,67658499;36,574821;436,15;0,24;;;;;;;;;;;;;;
C;2;3,70;438,70;303,15;0,1;;;;;;;;;;;;;;
C;2;21700,76286;1,060551;315,15;0,24;;;;;;;;;;;;;;
C;2;1087,513858;2,606547;348,15;0,24;;;;;;;;;;;;;;
C;2;5,60;320,10;303,15;0,1;;;;;;;;;;;;;;
C;2;274,5043279;5,124568;370,15;0,24;;;;;;;;;;;;;;
